"POP","LAT_mean","Dam_mean","SL_mean","SC_mean","VEGWT_mean","RWT_mean","PREV_mean"
1,38.8235,0.287878787878788,11.405303030303,5.40151515151515,11.9483106060606,0.267901515151515,12.2162121212121
2,38.7966,0.173553719008264,10.9917355371901,6.14876033057851,8.64487603305785,0.093198347107438,8.73807438016529
3,40.23327,0.231578947368421,13.5557894736842,8.18947368421053,13.0362210526316,0.320242105263158,13.3564631578947
4,40.06813,0.4,14.975,9.625,13.58325,0.624475,14.207725
5,41.42692,0.3,13.6714285714286,5.24285714285714,10.4607571428571,0.624671428571429,11.0854285714286
6,41.57154,0.31858407079646,12.0752212389381,5.87610619469027,11.5935405405405,0.409054054054054,12.0025945945946
8,41.97527,0.288,12.676,7.292,12.94972,0.590864,13.540584
9,42.79109,0.356164383561644,13.1643835616438,7.04109589041096,7.29981944444444,0.320736111111111,7.62055555555556
10,43.69717,0.358778625954198,15.1412213740458,6.34351145038168,13.5290076335878,0.787015267175572,14.3160229007634
11,43.28958,0.363636363636364,14.3484848484848,6.36363636363636,12.8374045801527,0.362015267175573,13.1994198473282
12,44.54749,0.268115942028986,10.1739130434783,7.85507246376812,8.06721897810219,0.906737226277372,8.97395620437956
13,44.6076,0.248,11.812,7.376,7.537504,0.918712,8.456216
14,44.29771,0.3046875,14.1484375,6.7109375,10.1097007874016,0.873244094488189,10.9829448818898
15,44.2915,0.277777777777778,11.3865079365079,7.37301587301587,6.74549206349206,0.881452380952381,7.62694444444444
16,44.75284,0.220338983050847,10.7203389830508,7.65254237288136,7.83278813559322,1.23993220338983,9.07272033898305
17,45.02376,0.283333333333333,13.625,7.775,9.635025,0.254616666666667,9.88964166666667
18,45.76868,0.303030303030303,11.7613636363636,6.42424242424242,7.32808333333333,0.163962121212121,7.49204545454545
19,47.73136,0.2,8.652,5.928,5.10908,0.23368,5.34276
20,48.10384,0.381679389312977,16.2519083969466,6.77862595419847,8.0261,0.0421461538461538,8.06824615384615
22,46.75552,0.257352941176471,11.9889705882353,7.05147058823529,11.3975147058824,0.958051470588235,12.3555661764706
